"Test Case ID",Scenario,"Testing Type",Severity,Priority,"Feature Name","Sub Feature Name","Test Conditions","Test Idea","Test Data","Acceptance Criteria","Test Steps","Test Flow Name","Request Method","API End Point","Expected Output",cURL
TES10595,"Keep Bugasura Vietnamese rollout limited to targeted users to support staged release exposure.",functionality,HIGH,P2,"Vietnamese Language Support","Feature Flag Release","Feature Flag Release is created with valid flag_name, status 'off', and rollout_percentage 45 for partial rollout behavior.","As Priya Sharma, a QA Lead, I want to create a flag 'feature_toggle' with status 'off' and rollout 45% so that the feature is disabled for 55% of users and enabled for 45%.","[{""type"":""text"",""key"":""username"",""value"":""priya_sharma"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""password"",""value"":""securePassword456"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""flag_name"",""value"":""feature_toggle"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""flag_status"",""value"":""off"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""rollout_percentage"",""value"":""45"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Feature flag is successfully limited to 45% of users.","Step 1: Authenticate user with credentials using 'username' and 'password' fields 
Step 2: Navigate to the profile/settings menu 
Step 3: Select 'Language' from the options 
Step 4: Choose 'Vietnamese' from the list of available languages 
Step 5: Save changes and confirm language preference 
Step 6: Navigate to 'Feature Flags' section 
Step 7: Create a new feature flag by entering {{flag_name}} in the 'Feature Flag Name' field 
Step 8: Set {{flag_status}} in the 'Status' field 
Step 9: Enter {{rollout_percentage}} in the 'Rollout Percentage' field 
Step 10: Save the feature flag settings 
Step 11: Verify that the feature flag is limited to 45% of users",,,,,
TES10594,"Turn on the Bugasura Vietnamese feature flag for all users to launch full release access.",functionality,CRITICAL,P2,"Vietnamese Language Support","Feature Flag Release","Feature Flag Release is created with valid flag_name, status 'on', and rollout_percentage 100.","As Rajesh Kumar, a Product Manager at a SaaS company, I want to create a feature flag with name 'feature_toggle', status 'on', and rollout 100% so that the new feature is enabled for all users.","[{""type"":""text"",""key"":""username"",""value"":""rajesh_kumar"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""password"",""value"":""securePassword123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""flag_name"",""value"":""feature_toggle"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""flag_status"",""value"":""on"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""rollout_percentage"",""value"":""100"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Feature flag is successfully enabled for all users.","Step 1: Authenticate user with credentials using 'username' and 'password' fields 
Step 2: Navigate to the profile/settings menu 
Step 3: Select 'Language' from the options 
Step 4: Choose 'Vietnamese' from the list of available languages 
Step 5: Save changes and confirm language preference 
Step 6: Navigate to 'Feature Flags' section 
Step 7: Create a new feature flag by entering {{flag_name}} in the 'Feature Flag Name' field 
Step 8: Set {{flag_status}} in the 'Status' field 
Step 9: Enter {{rollout_percentage}} in the 'Rollout Percentage' field 
Step 10: Save the feature flag settings 
Step 11: Verify that the feature flag is enabled for all users",,,,,
TES10593,"Restore Vietnamese from the Bugasura profile after browser cache is cleared to keep UI Localization stable.",functionality,HIGH,P2,"Vietnamese Language Support","UI Localization","Browser cache or local storage is cleared after saving Vietnamese preference, and the user signs in again.","As a Bugasura user, after selecting Vietnamese, if my browser storage is cleared or unavailable, my saved language should still be restored from my account profile when I log in again.","[{""type"":""text"",""key"":""base_url"",""value"":""https:\/\/api.bugasura.io"",""test_data_id"":""62""},{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""password123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Server-side persistence restores language preference after cache clearing.","Step 1: Navigate to {{base_url}} 
Step 2: Enter {{email}} in the 'Email' field 
Step 3: Enter {{password}} in the 'Password' field 
Step 4: Click 'Login' button 
Step 5: Navigate to 'Profile/Account Settings' 
Step 6: Select 'Vietnamese' from the 'Preferred Language' dropdown 
Step 7: Click 'Save' button 
Step 8: Clear browser cache 
Step 9: Log out 
Step 10: Log back in 
Step 11: Verify UI displays in Vietnamese",,,,,
TES10592,"Add new Vietnamese UI Localization content in Bugasura and keep screens readable as language coverage grows.",localizability,MEDIUM,P2,"Vietnamese Language Support","UI Localization","New Vietnamese localized content is introduced and rendered across Bugasura without display regressions.","As Minh, when new Vietnamese translations are introduced for product-owned UI content, the system should display them correctly and support scalable addition of languages without breaking localized presentation.","[{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""Test@123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","New Vietnamese UI content should display correctly and support language growth without issues.","Step 1: Navigate to the Bugasura login page 
Step 2: Enter {{email}} in the 'Email' field 
Step 3: Enter {{password}} in the 'Password' field 
Step 4: Click 'Login' button 
Step 5: Navigate to 'Profile/Account Settings' 
Step 6: Select 'Vietnamese' from the 'Preferred Language' dropdown 
Step 7: Click 'Save Preferences' button 
Step 8: Verify new Vietnamese translations are displayed correctly in the UI",,,,,
TES10591,"Handle oversized UI Localization values in Bugasura to keep screens stable when text grows beyond limits",localizability,HIGH,P2,"Vietnamese Language Support","UI Localization","UI Localization receives values that exceed expected maximum lengths for localization-related inputs.","As Tania Dey, a QA Analyst, I want to provide locale_code `en-US-EXTENDED`, region `EURWZ`, and custom_label with more than 50 chars so that the system reports max length violations on all fields.","[{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""api_key"",""value"":""{{api_key}}"",""test_data_id"":""26049"",""value_variables"":[{""name"":""{{api_key}}"",""value"":""947eebffd0767c6158ef444ef636ad08134087ad"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""26049""}]},{""type"":""text"",""key"":""locale_code"",""value"":""en-US-EXTENDED"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""region"",""value"":""EURWZ"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""custom_label"",""value"":""A very long string exceeding fifty characters for testing"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","System reports max length violations.","Step 1: Authenticate using credentials 
Step 2: Navigate to 'Profile' or 'Account Settings' 
Step 3: Select 'Language' option 
Step 4: Enter {{locale_code}} 'en-US-EXTENDED' in the 'Locale Code' field 
Step 5: Enter {{region}} 'EURWZ' in the 'Region' field 
Step 6: Enter {{custom_label}} a string longer than 50 characters in the 'Custom Label' field 
Step 7: Save changes 
Step 8: Verify system reports max length violations",,,,,
TES10590,"Reject injection-style text in UI Localization to protect Bugasura data paths and displayed content",error_handling,CRITICAL,P2,"Vietnamese Language Support","UI Localization","UI Localization receives SQL injection-style payloads in localization-related text inputs.","As Vandana Bhatt, a Security Analyst, I want to test for SQL injection by entering `' OR '1'='1` in custom_label so that the system identifies and blocks SQLi attempts.","[{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""api_key"",""value"":""{{api_key}}"",""test_data_id"":""26049"",""value_variables"":[{""name"":""{{api_key}}"",""value"":""947eebffd0767c6158ef444ef636ad08134087ad"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""26049""}]},{""type"":""text"",""key"":""custom_label"",""value"":""' OR '1'='1"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","System identifies and prevents SQLi attempts.","Step 1: Authenticate using credentials 
Step 2: Navigate to 'Profile' or 'Account Settings' 
Step 3: Select 'Language' option 
Step 4: Enter {{custom_label}} ""' OR '1'='1"" in the 'Custom Label' field 
Step 5: Save changes 
Step 6: Verify system identifies and prevents SQLi attempts",,,,,
TES10589,"Block unsafe script content in UI Localization to keep Bugasura screens secure while displaying text",error_handling,CRITICAL,P2,"Vietnamese Language Support","UI Localization","UI Localization receives script-based payloads in displayed text fields.","As Karthik Srinivasan, a Security Tester, I want to submit a script tag in the custom_label field (`<script>alert(1)</script>`) so that the system detects and prevents XSS injection attacks.","[{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""api_key"",""value"":""{{api_key}}"",""test_data_id"":""26049"",""value_variables"":[{""name"":""{{api_key}}"",""value"":""947eebffd0767c6158ef444ef636ad08134087ad"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""26049""}]},{""type"":""text"",""key"":""custom_label"",""value"":""\u003Cscript\u003Ealert(1)\u003C\/script\u003E"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","System detects and blocks XSS.","Step 1: Authenticate using credentials 
Step 2: Navigate to 'Profile' or 'Account Settings' 
Step 3: Select 'Language' option 
Step 4: Enter {{custom_label}} '<script>alert(1)</script>' in the 'Custom Label' field 
Step 5: Save changes 
Step 6: Verify system detects and prevents XSS injection",,,,,
TES10588,"Render multilingual text, Unicode, and emoji in UI Localization to keep Bugasura readable across diverse content",localizability,HIGH,P2,"Vietnamese Language Support","UI Localization","UI Localization displays multilingual Unicode and emoji content without encoding or rendering issues.","As Meera Pillai, a QA Specialist, I want to set locale_code to `ja`, region to `JP`, and custom_label to `🎉 مرحبا 日本語` so that the UI renders Japanese/Arabic/Emoji content without display or encoding errors.","[{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""api_key"",""value"":""{{api_key}}"",""test_data_id"":""26049"",""value_variables"":[{""name"":""{{api_key}}"",""value"":""947eebffd0767c6158ef444ef636ad08134087ad"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""26049""}]},{""type"":""text"",""key"":""locale_code"",""value"":""ja"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""region"",""value"":""JP"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""custom_label"",""value"":""\ud83c\udf89 \u0645\u0631\u062d\u0628\u0627 \u65e5\u672c\u8a9e"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Accurate rendering of diverse scripts.","Step 1: Authenticate using credentials 
Step 2: Navigate to 'Profile' or 'Account Settings' 
Step 3: Select 'Language' option 
Step 4: Enter {{locale_code}} 'ja' in the 'Locale Code' field 
Step 5: Enter {{region}} 'JP' in the 'Region' field 
Step 6: Enter {{custom_label}} '? ????? ???' in the 'Custom Label' field 
Step 7: Save changes 
Step 8: Verify UI renders Japanese/Arabic/Emoji content without errors",,,,,
TES10587,"Load Vietnamese UI Localization resources efficiently in Bugasura to keep switching fast and responsive",localizability,HIGH,P2,"Vietnamese Language Support","UI Localization","Bugasura loads Vietnamese language resources repeatedly across pages and sessions with caching enabled.","An focuses on efficient loading and caching to support localization.","[{""type"":""text"",""key"":""base_url"",""value"":""https:\/\/www.bugasura.com"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Efficient loading and caching of resources.","Step 1: Navigate to {{base_url}} 
Step 2: Log in with valid credentials 
Step 3: Change language to Vietnamese 
Step 4: Verify efficient loading and caching of language resources 
Step 5: Ensure UI is responsive during and after language switch",,,,,
TES10586,"Show or hide Vietnamese in Bugasura through rollout controls to support safe release and rollback.",functionality,HIGH,P2,"Vietnamese Language Support","Language Selection","Vietnamese option availability and behavior respond correctly to feature flag or configuration toggle state.","As a release stakeholder, I want Vietnamese availability to be controlled by a feature flag so rollout can be staged and disabled safely if issues occur.",[],"Feature flag correctly controls the visibility and behavior of Vietnamese language option.","Step 1: Navigate to admin panel 
Step 2: Locate 'Feature Flags' section 
Step 3: Toggle 'Vietnamese Language Support' flag 
Step 4: Refresh user session 
Step 5: Verify Vietnamese option appears in 'Language Preferences' 
Step 6: Toggle flag off 
Step 7: Refresh user session 
Step 8: Verify Vietnamese option is hidden",,,,,
TES10585,"Switch Bugasura to Vietnamese instantly to keep collaboration smooth during frequent language changes.",usability,HIGH,P2,"Vietnamese Language Support","Language Selection","Language Selection updates the UI immediately without a full page reload or visible broken states.","Anil switches languages frequently while collaborating and needs instant changes.","[{""type"":""text"",""key"":""base_url"",""value"":""https:\/\/bugasura.example.com"",""test_data_id"":"""",""generated"":true,""value_variables"":[]},{""type"":""text"",""key"":""email"",""value"":""{{email}}"",""test_data_id"":""27082"",""value_variables"":[{""name"":""{{email}}"",""value"":""example@gmail.com"",""is_global"":1,""is_environment_variable"":0,""test_data_id"":""27082""}]},{""type"":""text"",""key"":""password"",""value"":""Test@123"",""test_data_id"":"""",""generated"":true,""value_variables"":[]}]","Language switches instantly without breaking the UI.","Step 1: Navigate to the login page at {{base_url}} 
Step 2: Enter {{email}} in the 'Email' field 
Step 3: Enter {{password}} in the 'Password' field 
Step 4: Click the 'Login' button 
Step 5: Navigate to 'Profile' or 'Account Settings' screen 
Step 6: Select 'Language Preferences' from the menu 
Step 7: Switch between English and Vietnamese in the 'Language' dropdown 
Step 8: Verify that language switches instantly without breaking the UI",,,,,
